date,bank_holiday,feature_0,feature_1,feature_2,feature_6,feature_7,school_holiday,feature_10,label,air_humidity,air_temperature_daily_max,precipitation,snow_height,sunshine_hours,wind_speed_max,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10,m_11,m_12,d_1,d_2,d_3,d_4,d_5,d_6
2005-03-20,0,0,0,0,3.7,0,0,0,915,69.0,8.9,0.0,0,11.1,7.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2005-03-21,0,0,0,0,3.7,0,3,0,1057,58.0,13.2,0.0,0,11.3,9.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-03-22,0,0,0,0,3.7,0,3,0,1482,52.0,18.0,3.3,0,8.6,9.2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2005-03-23,0,0,0,0,3.7,0,3,0,1883,79.0,17.6,0.0,0,8.4,8.2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2005-03-24,0,0,0,0,3.7,0,3,0,1790,71.0,20.1,4.3,0,7.9,8.6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2005-03-25,3,0,0,0,3.7,0,3,0,2193,89.0,15.5,2.2,0,1.6,8.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2005-03-26,0,0,0,0,3.7,0,3,0,1481,91.0,14.0,0.0,0,3.2,6.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2005-03-27,0,0,0,0,3.7,0,3,0,865,86.0,15.0,0.0,0,3.5,8.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2005-03-28,3,0,0,0,3.7,0,3,0,1942,89.0,13.5,2.0,0,0.5,6.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-03-29,0,0,0,0,3.7,0,3,0,2753,91.0,13.3,0.0,0,0.3,8.4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2005-03-30,0,0,0,0,3.7,0,3,0,3160,66.0,14.1,0.0,0,4.8,12.3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2005-03-31,0,0,0,0,3.7,0,3,0,3135,55.0,13.8,0.0,0,12.1,9.9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2005-04-01,0,0,0,0,3.7,0,3,0,2054,49.0,15.2,0.0,0,12.4,9.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2005-04-02,0,0,0,0,3.7,0,3,0,1529,44.0,17.0,0.0,0,12.5,10.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2005-04-03,0,0,0,0,3.7,0,0,0,1699,40.0,20.9,0.0,0,12.3,7.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2005-04-04,0,0,0,0,3.7,0,0,0,817,49.0,21.6,3.8,0,8.9,10.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-04-05,0,0,0,0,3.7,0,0,0,718,71.0,13.0,0.0,0,4.7,13.4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2005-04-06,0,0,0,0,3.7,0,0,0,726,65.0,13.8,2.3,0,5.5,13.4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2005-04-07,0,0,0,0,3.7,0,0,0,638,75.0,12.5,2.6,0,7.8,20.6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2005-04-08,0,0,0,0,3.7,0,0,0,1089,82.0,10.0,2.2,0,0.8,8.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2005-04-09,0,0,0,0,3.7,0,0,0,1941,75.0,8.0,2.0,0,3.7,11.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2005-04-10,0,0,0,0,3.7,0,0,0,2590,91.0,10.4,3.1,0,0.1,10.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2005-04-11,0,0,0,0,3.7,0,0,0,912,82.0,12.1,0.0,0,0.0,6.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-04-12,0,0,0,0,3.7,0,0,0,589,75.0,16.5,0.0,0,3.8,4.3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2005-04-13,0,0,0,0,3.7,0,0,0,793,71.0,16.5,0.5,0,3.5,9.7,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2005-04-14,0,0,0,0,3.7,0,0,0,585,69.0,17.1,0.0,0,3.5,9.5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2005-04-15,0,0,0,0,3.7,0,0,0,1015,74.0,21.2,2.0,0,8.8,15.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2005-04-16,0,0,0,0,3.7,0,0,0,1658,72.0,20.3,0.0,0,6.0,10.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2005-04-17,0,0,0,0,3.7,0,0,0,2033,86.0,16.2,0.0,0,3.6,9.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2005-04-18,0,0,0,0,3.7,0,0,0,847,84.0,17.2,0.1,0,0.9,6.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-04-19,0,0,0,0,3.7,0,0,0,692,90.0,14.913344887348353,3.8,0,4.4960161662817555,10.358843930635837,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2005-04-20,0,0,0,0,3.7,0,0,0,736,54.0,12.7,0.0,0,10.4,11.8,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2005-04-21,0,0,0,0,3.7,0,0,0,657,58.0,13.4,0.0,0,11.3,7.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2005-04-22,0,0,0,0,3.7,0,0,0,888,55.0,15.4,0.0,0,13.7,5.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2005-04-23,0,0,0,0,3.7,0,0,0,1216,57.0,17.9,0.0,0,13.1,7.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2005-04-24,0,0,0,0,3.7,0,0,0,1230,55.0,18.0,0.0,0,10.7,10.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2005-04-25,0,0,0,0,3.7,0,0,0,763,65.0,12.7,1.4,0,4.3,11.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-04-26,0,0,0,0,3.7,0,0,0,612,78.0,13.5,4.3,0,0.6,6.9,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
